Code,Title
application/vnd.dvb.iptv.alfec-base,vnd.dvb.iptv.alfec-base
application/vnd.dvb.iptv.alfec-enhancement,vnd.dvb.iptv.alfec-enhancement
application/vnd.dvb.notif-aggregate-root+xml,vnd.dvb.notif-aggregate-root+xml
application/vnd.dvb.notif-container+xml,vnd.dvb.notif-container+xml
application/vnd.dvb.notif-generic+xml,vnd.dvb.notif-generic+xml
application/vnd.dvb.notif-ia-msglist+xml,vnd.dvb.notif-ia-msglist+xml
application/vnd.dvb.notif-ia-registration-request+xml,vnd.dvb.notif-ia-registration-request+xml
application/vnd.dvb.notif-ia-registration-response+xml,vnd.dvb.notif-ia-registration-response+xml
application/vnd.dvb.notif-init+xml,vnd.dvb.notif-init+xml
application/vnd.dvb.pfr,vnd.dvb.pfr
application/vnd.dvb.service,vnd.dvb.service
application/vnd.dxr,vnd.dxr
application/vnd.dynageo,vnd.dynageo
application/vnd.dzr,vnd.dzr
application/vnd.easykaraoke.cdgdownload,vnd.easykaraoke.cdgdownload
application/vnd.ecip.rlp,vnd.ecip.rlp
application/vnd.ecdis-update,vnd.ecdis-update
application/vnd.ecowin.chart,vnd.ecowin.chart
application/vnd.ecowin.filerequest,vnd.ecowin.filerequest
application/vnd.ecowin.fileupdate,vnd.ecowin.fileupdate
application/vnd.ecowin.series,vnd.ecowin.series
application/vnd.ecowin.seriesrequest,vnd.ecowin.seriesrequest
application/vnd.ecowin.seriesupdate,vnd.ecowin.seriesupdate
application/vnd.efi.img,vnd.efi.img
application/vnd.efi.iso,vnd.efi.iso
application/vnd.emclient.accessrequest+xml,vnd.emclient.accessrequest+xml
application/vnd.enliven,vnd.enliven
application/vnd.enphase.envoy,vnd.enphase.envoy
application/vnd.eprints.data+xml,vnd.eprints.data+xml
application/vnd.epson.esf,vnd.epson.esf
application/vnd.epson.msf,vnd.epson.msf
application/vnd.epson.quickanime,vnd.epson.quickanime
application/vnd.epson.salt,vnd.epson.salt
application/vnd.epson.ssf,vnd.epson.ssf
application/vnd.ericsson.quickcall,vnd.ericsson.quickcall
application/vnd.espass-espass+zip,vnd.espass-espass+zip
application/vnd.eszigno3+xml,vnd.eszigno3+xml
application/vnd.etsi.aoc+xml,vnd.etsi.aoc+xml
application/vnd.etsi.asic-s+zip,vnd.etsi.asic-s+zip
application/vnd.etsi.asic-e+zip,vnd.etsi.asic-e+zip
application/vnd.etsi.cug+xml,vnd.etsi.cug+xml
application/vnd.etsi.iptvcommand+xml,vnd.etsi.iptvcommand+xml
application/vnd.etsi.iptvdiscovery+xml,vnd.etsi.iptvdiscovery+xml
application/vnd.etsi.iptvprofile+xml,vnd.etsi.iptvprofile+xml
application/vnd.etsi.iptvsad-bc+xml,vnd.etsi.iptvsad-bc+xml
application/vnd.etsi.iptvsad-cod+xml,vnd.etsi.iptvsad-cod+xml
application/vnd.etsi.iptvsad-npvr+xml,vnd.etsi.iptvsad-npvr+xml
application/vnd.etsi.iptvservice+xml,vnd.etsi.iptvservice+xml
application/vnd.etsi.iptvsync+xml,vnd.etsi.iptvsync+xml
application/vnd.etsi.iptvueprofile+xml,vnd.etsi.iptvueprofile+xml
application/vnd.etsi.mcid+xml,vnd.etsi.mcid+xml
application/vnd.etsi.mheg5,vnd.etsi.mheg5
application/vnd.etsi.overload-control-policy-dataset+xml,vnd.etsi.overload-control-policy-dataset+xml
application/vnd.etsi.pstn+xml,vnd.etsi.pstn+xml
application/vnd.etsi.sci+xml,vnd.etsi.sci+xml
application/vnd.etsi.simservs+xml,vnd.etsi.simservs+xml
application/vnd.etsi.timestamp-token,vnd.etsi.timestamp-token
application/vnd.etsi.tsl+xml,vnd.etsi.tsl+xml
application/vnd.etsi.tsl.der,vnd.etsi.tsl.der
application/vnd.evolv.ecig.profile,vnd.evolv.ecig.profile
application/vnd.evolv.ecig.settings,vnd.evolv.ecig.settings
application/vnd.evolv.ecig.theme,vnd.evolv.ecig.theme
application/vnd.eudora.data,vnd.eudora.data
application/vnd.exstream-empower+zip,vnd.exstream-empower+zip
application/vnd.exstream-package,vnd.exstream-package
application/vnd.ezpix-album,vnd.ezpix-album
application/vnd.ezpix-package,vnd.ezpix-package
application/vnd.f-secure.mobile,vnd.f-secure.mobile
application/vnd.fastcopy-disk-image,vnd.fastcopy-disk-image
application/vnd.fdf,vnd.fdf
application/vnd.fdsn.mseed,vnd.fdsn.mseed
application/vnd.fdsn.seed,vnd.fdsn.seed
application/vnd.ffsns,vnd.ffsns
application/vnd.ficlab.flb+zip,vnd.ficlab.flb+zip
application/vnd.filmit.zfc,vnd.filmit.zfc
application/vnd.fints,vnd.fints
application/vnd.firemonkeys.cloudcell,vnd.firemonkeys.cloudcell
application/vnd.FloGraphIt,vnd.FloGraphIt
application/vnd.fluxtime.clip,vnd.fluxtime.clip
application/vnd.font-fontforge-sfd,vnd.font-fontforge-sfd
application/vnd.framemaker,vnd.framemaker
application/vnd.fsc.weblaunch,vnd.fsc.weblaunch
application/vnd.fujifilm.fb.docuworks,vnd.fujifilm.fb.docuworks
application/vnd.fujifilm.fb.docuworks.binder,vnd.fujifilm.fb.docuworks.binder
application/vnd.fujifilm.fb.docuworks.container,vnd.fujifilm.fb.docuworks.container
application/vnd.fujifilm.fb.jfi+xml,vnd.fujifilm.fb.jfi+xml
application/vnd.fujitsu.oasys,vnd.fujitsu.oasys
application/vnd.fujitsu.oasys2,vnd.fujitsu.oasys2
application/vnd.fujitsu.oasys3,vnd.fujitsu.oasys3
application/vnd.fujitsu.oasysgp,vnd.fujitsu.oasysgp
application/vnd.fujitsu.oasysprs,vnd.fujitsu.oasysprs
application/vnd.fujixerox.ART4,vnd.fujixerox.ART4
application/vnd.fujixerox.ART-EX,vnd.fujixerox.ART-EX
application/vnd.fujixerox.ddd,vnd.fujixerox.ddd
application/vnd.fujixerox.docuworks,vnd.fujixerox.docuworks
application/vnd.fujixerox.docuworks.binder,vnd.fujixerox.docuworks.binder
application/vnd.fujixerox.docuworks.container,vnd.fujixerox.docuworks.container
application/vnd.fujixerox.HBPL,vnd.fujixerox.HBPL
application/vnd.fut-misnet,vnd.fut-misnet
application/vnd.futoin+cbor,vnd.futoin+cbor
application/vnd.futoin+json,vnd.futoin+json
application/vnd.fuzzysheet,vnd.fuzzysheet
application/vnd.genomatix.tuxedo,vnd.genomatix.tuxedo
application/vnd.gentics.grd+json,vnd.gentics.grd+json
application/vnd.geogebra.file,vnd.geogebra.file
application/vnd.geogebra.slides,vnd.geogebra.slides
application/vnd.geogebra.tool,vnd.geogebra.tool
application/vnd.geometry-explorer,vnd.geometry-explorer
application/vnd.geonext,vnd.geonext
application/vnd.geoplan,vnd.geoplan
application/vnd.geospace,vnd.geospace
application/vnd.gerber,vnd.gerber
application/vnd.globalplatform.card-content-mgt,vnd.globalplatform.card-content-mgt
application/vnd.globalplatform.card-content-mgt-response,vnd.globalplatform.card-content-mgt-response
application/vnd.google-earth.kml+xml,vnd.google-earth.kml+xml
application/vnd.google-earth.kmz,vnd.google-earth.kmz
application/vnd.gov.sk.e-form+xml,vnd.gov.sk.e-form+xml
application/vnd.gov.sk.e-form+zip,vnd.gov.sk.e-form+zip
application/vnd.gov.sk.xmldatacontainer+xml,vnd.gov.sk.xmldatacontainer+xml
application/vnd.grafeq,vnd.grafeq
application/vnd.gridmp,vnd.gridmp
application/vnd.groove-account,vnd.groove-account
application/vnd.groove-help,vnd.groove-help
application/vnd.groove-identity-message,vnd.groove-identity-message
application/vnd.groove-injector,vnd.groove-injector
application/vnd.groove-tool-message,vnd.groove-tool-message
application/vnd.groove-tool-template,vnd.groove-tool-template
application/vnd.groove-vcard,vnd.groove-vcard
application/vnd.hal+json,vnd.hal+json
application/vnd.hal+xml,vnd.hal+xml
application/vnd.HandHeld-Entertainment+xml,vnd.HandHeld-Entertainment+xml
application/vnd.hbci,vnd.hbci
application/vnd.hc+json,vnd.hc+json
application/vnd.hcl-bireports,vnd.hcl-bireports
application/vnd.hdt,vnd.hdt
application/vnd.heroku+json,vnd.heroku+json
application/vnd.hhe.lesson-player,vnd.hhe.lesson-player
application/vnd.hp-HPGL,vnd.hp-HPGL
application/vnd.hp-hpid,vnd.hp-hpid
application/vnd.hp-hps,vnd.hp-hps
application/vnd.hp-jlyt,vnd.hp-jlyt
application/vnd.hp-PCL,vnd.hp-PCL
application/vnd.hp-PCLXL,vnd.hp-PCLXL
application/vnd.httphone,vnd.httphone
application/vnd.hydrostatix.sof-data,vnd.hydrostatix.sof-data
application/vnd.hyper-item+json,vnd.hyper-item+json
application/vnd.hyper+json,vnd.hyper+json
application/vnd.hyperdrive+json,vnd.hyperdrive+json
application/vnd.hzn-3d-crossword,vnd.hzn-3d-crossword
application/vnd.ibm.electronic-media,vnd.ibm.electronic-media
application/vnd.ibm.MiniPay,vnd.ibm.MiniPay
application/vnd.ibm.rights-management,vnd.ibm.rights-management
application/vnd.ibm.secure-container,vnd.ibm.secure-container
application/vnd.iccprofile,vnd.iccprofile
application/vnd.ieee.1905,vnd.ieee.1905
application/vnd.igloader,vnd.igloader
application/vnd.imagemeter.folder+zip,vnd.imagemeter.folder+zip
application/vnd.imagemeter.image+zip,vnd.imagemeter.image+zip
application/vnd.immervision-ivp,vnd.immervision-ivp
application/vnd.immervision-ivu,vnd.immervision-ivu
application/vnd.ims.imsccv1p1,vnd.ims.imsccv1p1
application/vnd.ims.imsccv1p2,vnd.ims.imsccv1p2
application/vnd.ims.imsccv1p3,vnd.ims.imsccv1p3
application/vnd.ims.lis.v2.result+json,vnd.ims.lis.v2.result+json
application/vnd.ims.lti.v2.toolconsumerprofile+json,vnd.ims.lti.v2.toolconsumerprofile+json
application/vnd.ims.lti.v2.toolproxy.id+json,vnd.ims.lti.v2.toolproxy.id+json
application/vnd.ims.lti.v2.toolproxy+json,vnd.ims.lti.v2.toolproxy+json
application/vnd.ims.lti.v2.toolsettings+json,vnd.ims.lti.v2.toolsettings+json
application/vnd.ims.lti.v2.toolsettings.simple+json,vnd.ims.lti.v2.toolsettings.simple+json
application/vnd.informedcontrol.rms+xml,vnd.informedcontrol.rms+xml
application/vnd.infotech.project,vnd.infotech.project
application/vnd.infotech.project+xml,vnd.infotech.project+xml
application/vnd.innopath.wamp.notification,vnd.innopath.wamp.notification
application/vnd.insors.igm,vnd.insors.igm
application/vnd.intercon.formnet,vnd.intercon.formnet
application/vnd.intergeo,vnd.intergeo
application/vnd.intertrust.digibox,vnd.intertrust.digibox
application/vnd.intertrust.nncp,vnd.intertrust.nncp
application/vnd.intu.qbo,vnd.intu.qbo
application/vnd.intu.qfx,vnd.intu.qfx
application/vnd.iptc.g2.catalogitem+xml,vnd.iptc.g2.catalogitem+xml
application/vnd.iptc.g2.conceptitem+xml,vnd.iptc.g2.conceptitem+xml
application/vnd.iptc.g2.knowledgeitem+xml,vnd.iptc.g2.knowledgeitem+xml
application/vnd.iptc.g2.newsitem+xml,vnd.iptc.g2.newsitem+xml
application/vnd.iptc.g2.newsmessage+xml,vnd.iptc.g2.newsmessage+xml
application/vnd.iptc.g2.packageitem+xml,vnd.iptc.g2.packageitem+xml
application/vnd.iptc.g2.planningitem+xml,vnd.iptc.g2.planningitem+xml
application/vnd.ipunplugged.rcprofile,vnd.ipunplugged.rcprofile
application/vnd.irepository.package+xml,vnd.irepository.package+xml
application/vnd.is-xpr,vnd.is-xpr
application/vnd.isac.fcs,vnd.isac.fcs
application/vnd.jam,vnd.jam
application/vnd.iso11783-10+zip,vnd.iso11783-10+zip
application/vnd.japannet-directory-service,vnd.japannet-directory-service
application/vnd.japannet-jpnstore-wakeup,vnd.japannet-jpnstore-wakeup
application/vnd.japannet-payment-wakeup,vnd.japannet-payment-wakeup
application/vnd.japannet-registration,vnd.japannet-registration
application/vnd.japannet-registration-wakeup,vnd.japannet-registration-wakeup
application/vnd.japannet-setstore-wakeup,vnd.japannet-setstore-wakeup
application/vnd.japannet-verification,vnd.japannet-verification
application/vnd.japannet-verification-wakeup,vnd.japannet-verification-wakeup
application/vnd.jcp.javame.midlet-rms,vnd.jcp.javame.midlet-rms
application/vnd.jisp,vnd.jisp
application/vnd.joost.joda-archive,vnd.joost.joda-archive
application/vnd.jsk.isdn-ngn,vnd.jsk.isdn-ngn
application/vnd.kahootz,vnd.kahootz
application/vnd.kde.karbon,vnd.kde.karbon
application/vnd.kde.kchart,vnd.kde.kchart
application/vnd.kde.kformula,vnd.kde.kformula
application/vnd.kde.kivio,vnd.kde.kivio
application/vnd.kde.kontour,vnd.kde.kontour
application/vnd.kde.kpresenter,vnd.kde.kpresenter
application/vnd.kde.kspread,vnd.kde.kspread
application/vnd.kde.kword,vnd.kde.kword
application/vnd.kenameaapp,vnd.kenameaapp
application/vnd.kidspiration,vnd.kidspiration
application/vnd.Kinar,vnd.Kinar
application/vnd.koan,vnd.koan
application/vnd.kodak-descriptor,vnd.kodak-descriptor
application/vnd.las,vnd.las
application/vnd.las.las+json,vnd.las.las+json
application/vnd.las.las+xml,vnd.las.las+xml
application/vnd.laszip,vnd.laszip
application/vnd.leap+json,vnd.leap+json
application/vnd.liberty-request+xml,vnd.liberty-request+xml
application/vnd.llamagraphics.life-balance.desktop,vnd.llamagraphics.life-balance.desktop
application/vnd.llamagraphics.life-balance.exchange+xml,vnd.llamagraphics.life-balance.exchange+xml
application/vnd.logipipe.circuit+zip,vnd.logipipe.circuit+zip
application/vnd.loom,vnd.loom
application/vnd.lotus-1-2-3,vnd.lotus-1-2-3
application/vnd.lotus-approach,vnd.lotus-approach
application/vnd.lotus-freelance,vnd.lotus-freelance
application/vnd.lotus-notes,vnd.lotus-notes
application/vnd.lotus-organizer,vnd.lotus-organizer
application/vnd.lotus-screencam,vnd.lotus-screencam
application/vnd.lotus-wordpro,vnd.lotus-wordpro
application/vnd.macports.portpkg,vnd.macports.portpkg
application/vnd.mapbox-vector-tile,vnd.mapbox-vector-tile
application/vnd.marlin.drm.actiontoken+xml,vnd.marlin.drm.actiontoken+xml
application/vnd.marlin.drm.conftoken+xml,vnd.marlin.drm.conftoken+xml
application/vnd.marlin.drm.license+xml,vnd.marlin.drm.license+xml
application/vnd.marlin.drm.mdcf,vnd.marlin.drm.mdcf
application/vnd.mason+json,vnd.mason+json
application/vnd.maxmind.maxmind-db,vnd.maxmind.maxmind-db
application/vnd.mcd,vnd.mcd
application/vnd.medcalcdata,vnd.medcalcdata
application/vnd.mediastation.cdkey,vnd.mediastation.cdkey
application/vnd.meridian-slingshot,vnd.meridian-slingshot
application/vnd.MFER,vnd.MFER
application/vnd.mfmp,vnd.mfmp
application/vnd.micro+json,vnd.micro+json
application/vnd.micrografx.flo,vnd.micrografx.flo
application/vnd.micrografx.igx,vnd.micrografx.igx
application/vnd.microsoft.portable-executable,vnd.microsoft.portable-executable
application/vnd.microsoft.windows.thumbnail-cache,vnd.microsoft.windows.thumbnail-cache
application/vnd.miele+json,vnd.miele+json
application/vnd.mif,vnd.mif
application/vnd.minisoft-hp3000-save,vnd.minisoft-hp3000-save
application/vnd.mitsubishi.misty-guard.trustweb,vnd.mitsubishi.misty-guard.trustweb
application/vnd.Mobius.DAF,vnd.Mobius.DAF
application/vnd.Mobius.DIS,vnd.Mobius.DIS
application/vnd.Mobius.MBK,vnd.Mobius.MBK
application/vnd.Mobius.MQY,vnd.Mobius.MQY
application/vnd.Mobius.MSL,vnd.Mobius.MSL
application/vnd.Mobius.PLC,vnd.Mobius.PLC
application/vnd.Mobius.TXF,vnd.Mobius.TXF
application/vnd.mophun.application,vnd.mophun.application
application/vnd.mophun.certificate,vnd.mophun.certificate
application/vnd.motorola.flexsuite,vnd.motorola.flexsuite
application/vnd.motorola.flexsuite.adsi,vnd.motorola.flexsuite.adsi
application/vnd.motorola.flexsuite.fis,vnd.motorola.flexsuite.fis
application/vnd.motorola.flexsuite.gotap,vnd.motorola.flexsuite.gotap
application/vnd.motorola.flexsuite.kmr,vnd.motorola.flexsuite.kmr
application/vnd.motorola.flexsuite.ttc,vnd.motorola.flexsuite.ttc
application/vnd.motorola.flexsuite.wem,vnd.motorola.flexsuite.wem
application/vnd.motorola.iprm,vnd.motorola.iprm
application/vnd.mozilla.xul+xml,vnd.mozilla.xul+xml
application/vnd.ms-artgalry,vnd.ms-artgalry
application/vnd.ms-asf,vnd.ms-asf
application/vnd.ms-cab-compressed,vnd.ms-cab-compressed
application/vnd.ms-3mfdocument,vnd.ms-3mfdocument
application/vnd.ms-excel,vnd.ms-excel
application/vnd.ms-excel.addin.macroEnabled.12,vnd.ms-excel.addin.macroEnabled.12
application/vnd.ms-excel.sheet.binary.macroEnabled.12,vnd.ms-excel.sheet.binary.macroEnabled.12
application/vnd.ms-excel.sheet.macroEnabled.12,vnd.ms-excel.sheet.macroEnabled.12
application/vnd.ms-excel.template.macroEnabled.12,vnd.ms-excel.template.macroEnabled.12
application/vnd.ms-fontobject,vnd.ms-fontobject
application/vnd.ms-htmlhelp,vnd.ms-htmlhelp
application/vnd.ms-ims,vnd.ms-ims
application/vnd.ms-lrm,vnd.ms-lrm
application/vnd.ms-office.activeX+xml,vnd.ms-office.activeX+xml
application/vnd.ms-officetheme,vnd.ms-officetheme
application/vnd.ms-playready.initiator+xml,vnd.ms-playready.initiator+xml
application/vnd.ms-powerpoint,vnd.ms-powerpoint
application/vnd.ms-powerpoint.addin.macroEnabled.12,vnd.ms-powerpoint.addin.macroEnabled.12
application/vnd.ms-powerpoint.presentation.macroEnabled.12,vnd.ms-powerpoint.presentation.macroEnabled.12
application/vnd.ms-powerpoint.slide.macroEnabled.12,vnd.ms-powerpoint.slide.macroEnabled.12
application/vnd.ms-powerpoint.slideshow.macroEnabled.12,vnd.ms-powerpoint.slideshow.macroEnabled.12
application/vnd.ms-powerpoint.template.macroEnabled.12,vnd.ms-powerpoint.template.macroEnabled.12
application/vnd.ms-PrintDeviceCapabilities+xml,vnd.ms-PrintDeviceCapabilities+xml
application/vnd.ms-PrintSchemaTicket+xml,vnd.ms-PrintSchemaTicket+xml
application/vnd.ms-project,vnd.ms-project
application/vnd.ms-tnef,vnd.ms-tnef
application/vnd.ms-windows.devicepairing,vnd.ms-windows.devicepairing
application/vnd.ms-windows.nwprinting.oob,vnd.ms-windows.nwprinting.oob
application/vnd.ms-windows.printerpairing,vnd.ms-windows.printerpairing
application/vnd.ms-windows.wsd.oob,vnd.ms-windows.wsd.oob
application/vnd.ms-wmdrm.lic-chlg-req,vnd.ms-wmdrm.lic-chlg-req
application/vnd.ms-wmdrm.lic-resp,vnd.ms-wmdrm.lic-resp
application/vnd.ms-wmdrm.meter-chlg-req,vnd.ms-wmdrm.meter-chlg-req
application/vnd.ms-wmdrm.meter-resp,vnd.ms-wmdrm.meter-resp
application/vnd.ms-word.document.macroEnabled.12,vnd.ms-word.document.macroEnabled.12
application/vnd.ms-word.template.macroEnabled.12,vnd.ms-word.template.macroEnabled.12
application/vnd.ms-works,vnd.ms-works
application/vnd.ms-wpl,vnd.ms-wpl
application/vnd.ms-xpsdocument,vnd.ms-xpsdocument
application/vnd.msa-disk-image,vnd.msa-disk-image
application/vnd.mseq,vnd.mseq
application/vnd.msign,vnd.msign
application/vnd.multiad.creator,vnd.multiad.creator
application/vnd.multiad.creator.cif,vnd.multiad.creator.cif
application/vnd.musician,vnd.musician
application/vnd.music-niff,vnd.music-niff
application/vnd.muvee.style,vnd.muvee.style
application/vnd.mynfc,vnd.mynfc
application/vnd.ncd.control,vnd.ncd.control
application/vnd.ncd.reference,vnd.ncd.reference
application/vnd.nearst.inv+json,vnd.nearst.inv+json
application/vnd.nebumind.line,vnd.nebumind.line
application/vnd.nervana,vnd.nervana
application/vnd.netfpx,vnd.netfpx
application/vnd.neurolanguage.nlu,vnd.neurolanguage.nlu
application/vnd.nimn,vnd.nimn
application/vnd.nintendo.snes.rom,vnd.nintendo.snes.rom
application/vnd.nintendo.nitro.rom,vnd.nintendo.nitro.rom
application/vnd.nitf,vnd.nitf
application/vnd.noblenet-directory,vnd.noblenet-directory
application/vnd.noblenet-sealer,vnd.noblenet-sealer
application/vnd.noblenet-web,vnd.noblenet-web
application/vnd.nokia.catalogs,vnd.nokia.catalogs
application/vnd.nokia.conml+wbxml,vnd.nokia.conml+wbxml
application/vnd.nokia.conml+xml,vnd.nokia.conml+xml
application/vnd.nokia.iptv.config+xml,vnd.nokia.iptv.config+xml
application/vnd.nokia.iSDS-radio-presets,vnd.nokia.iSDS-radio-presets
application/vnd.nokia.landmark+wbxml,vnd.nokia.landmark+wbxml
application/vnd.nokia.landmark+xml,vnd.nokia.landmark+xml
application/vnd.nokia.landmarkcollection+xml,vnd.nokia.landmarkcollection+xml
application/vnd.nokia.ncd,vnd.nokia.ncd
application/vnd.nokia.n-gage.ac+xml,vnd.nokia.n-gage.ac+xml
application/vnd.nokia.n-gage.data,vnd.nokia.n-gage.data
application/vnd.nokia.pcd+wbxml,vnd.nokia.pcd+wbxml
application/vnd.nokia.pcd+xml,vnd.nokia.pcd+xml
application/vnd.nokia.radio-preset,vnd.nokia.radio-preset
application/vnd.nokia.radio-presets,vnd.nokia.radio-presets
application/vnd.novadigm.EDM,vnd.novadigm.EDM
application/vnd.novadigm.EDX,vnd.novadigm.EDX
application/vnd.novadigm.EXT,vnd.novadigm.EXT
application/vnd.ntt-local.content-share,vnd.ntt-local.content-share
application/vnd.ntt-local.file-transfer,vnd.ntt-local.file-transfer
application/vnd.ntt-local.ogw_remote-access,vnd.ntt-local.ogw_remote-access
application/vnd.ntt-local.sip-ta_remote,vnd.ntt-local.sip-ta_remote
application/vnd.ntt-local.sip-ta_tcp_stream,vnd.ntt-local.sip-ta_tcp_stream
application/vnd.oasis.opendocument.chart,vnd.oasis.opendocument.chart
application/vnd.oasis.opendocument.chart-template,vnd.oasis.opendocument.chart-template
application/vnd.oasis.opendocument.database,vnd.oasis.opendocument.database
application/vnd.oasis.opendocument.formula,vnd.oasis.opendocument.formula
application/vnd.oasis.opendocument.formula-template,vnd.oasis.opendocument.formula-template
application/vnd.oasis.opendocument.graphics,vnd.oasis.opendocument.graphics
application/vnd.oasis.opendocument.graphics-template,vnd.oasis.opendocument.graphics-template
application/vnd.oasis.opendocument.image,vnd.oasis.opendocument.image
application/vnd.oasis.opendocument.image-template,vnd.oasis.opendocument.image-template
application/vnd.oasis.opendocument.presentation,vnd.oasis.opendocument.presentation
application/vnd.oasis.opendocument.presentation-template,vnd.oasis.opendocument.presentation-template
application/vnd.oasis.opendocument.spreadsheet,vnd.oasis.opendocument.spreadsheet
application/vnd.oasis.opendocument.spreadsheet-template,vnd.oasis.opendocument.spreadsheet-template
application/vnd.oasis.opendocument.text,vnd.oasis.opendocument.text
application/vnd.oasis.opendocument.text-master,vnd.oasis.opendocument.text-master
application/vnd.oasis.opendocument.text-template,vnd.oasis.opendocument.text-template
application/vnd.oasis.opendocument.text-web,vnd.oasis.opendocument.text-web
application/vnd.obn,vnd.obn
application/vnd.ocf+cbor,vnd.ocf+cbor
application/vnd.oci.image.manifest.v1+json,vnd.oci.image.manifest.v1+json
application/vnd.oftn.l10n+json,vnd.oftn.l10n+json
application/vnd.oipf.contentaccessdownload+xml,vnd.oipf.contentaccessdownload+xml
application/vnd.oipf.contentaccessstreaming+xml,vnd.oipf.contentaccessstreaming+xml
application/vnd.oipf.cspg-hexbinary,vnd.oipf.cspg-hexbinary
application/vnd.oipf.dae.svg+xml,vnd.oipf.dae.svg+xml
application/vnd.oipf.dae.xhtml+xml,vnd.oipf.dae.xhtml+xml
application/vnd.oipf.mippvcontrolmessage+xml,vnd.oipf.mippvcontrolmessage+xml
application/vnd.oipf.pae.gem,vnd.oipf.pae.gem
application/vnd.oipf.spdiscovery+xml,vnd.oipf.spdiscovery+xml
application/vnd.oipf.spdlist+xml,vnd.oipf.spdlist+xml
application/vnd.oipf.ueprofile+xml,vnd.oipf.ueprofile+xml
application/vnd.oipf.userprofile+xml,vnd.oipf.userprofile+xml
application/vnd.olpc-sugar,vnd.olpc-sugar
application/vnd.oma.bcast.associated-procedure-parameter+xml,vnd.oma.bcast.associated-procedure-parameter+xml
application/vnd.oma.bcast.drm-trigger+xml,vnd.oma.bcast.drm-trigger+xml
application/vnd.oma.bcast.imd+xml,vnd.oma.bcast.imd+xml
application/vnd.oma.bcast.ltkm,vnd.oma.bcast.ltkm
application/vnd.oma.bcast.notification+xml,vnd.oma.bcast.notification+xml
application/vnd.oma.bcast.provisioningtrigger,vnd.oma.bcast.provisioningtrigger
application/vnd.oma.bcast.sgboot,vnd.oma.bcast.sgboot
application/vnd.oma.bcast.sgdd+xml,vnd.oma.bcast.sgdd+xml
application/vnd.oma.bcast.sgdu,vnd.oma.bcast.sgdu
application/vnd.oma.bcast.simple-symbol-container,vnd.oma.bcast.simple-symbol-container
application/vnd.oma.bcast.smartcard-trigger+xml,vnd.oma.bcast.smartcard-trigger+xml
application/vnd.oma.bcast.sprov+xml,vnd.oma.bcast.sprov+xml
application/vnd.oma.bcast.stkm,vnd.oma.bcast.stkm
application/vnd.oma.cab-address-book+xml,vnd.oma.cab-address-book+xml
application/vnd.oma.cab-feature-handler+xml,vnd.oma.cab-feature-handler+xml
application/vnd.oma.cab-pcc+xml,vnd.oma.cab-pcc+xml
application/vnd.oma.cab-subs-invite+xml,vnd.oma.cab-subs-invite+xml
application/vnd.oma.cab-user-prefs+xml,vnd.oma.cab-user-prefs+xml
application/vnd.oma.dcd,vnd.oma.dcd
application/vnd.oma.dcdc,vnd.oma.dcdc
application/vnd.oma.dd2+xml,vnd.oma.dd2+xml
application/vnd.oma.drm.risd+xml,vnd.oma.drm.risd+xml
application/vnd.oma.group-usage-list+xml,vnd.oma.group-usage-list+xml
application/vnd.oma.lwm2m+cbor,vnd.oma.lwm2m+cbor
application/vnd.oma.lwm2m+json,vnd.oma.lwm2m+json
application/vnd.oma.lwm2m+tlv,vnd.oma.lwm2m+tlv
application/vnd.oma.pal+xml,vnd.oma.pal+xml
application/vnd.oma.poc.detailed-progress-report+xml,vnd.oma.poc.detailed-progress-report+xml
application/vnd.oma.poc.final-report+xml,vnd.oma.poc.final-report+xml
application/vnd.oma.poc.groups+xml,vnd.oma.poc.groups+xml
application/vnd.oma.poc.invocation-descriptor+xml,vnd.oma.poc.invocation-descriptor+xml
application/vnd.oma.poc.optimized-progress-report+xml,vnd.oma.poc.optimized-progress-report+xml
application/vnd.oma.push,vnd.oma.push
application/vnd.oma.scidm.messages+xml,vnd.oma.scidm.messages+xml
application/vnd.oma.xcap-directory+xml,vnd.oma.xcap-directory+xml
application/vnd.omads-email+xml,vnd.omads-email+xml
application/vnd.omads-file+xml,vnd.omads-file+xml
application/vnd.omads-folder+xml,vnd.omads-folder+xml
application/vnd.omaloc-supl-init,vnd.omaloc-supl-init
application/vnd.oma-scws-config,vnd.oma-scws-config
application/vnd.oma-scws-http-request,vnd.oma-scws-http-request
application/vnd.oma-scws-http-response,vnd.oma-scws-http-response
application/vnd.onepager,vnd.onepager
application/vnd.onepagertamp,vnd.onepagertamp
application/vnd.onepagertamx,vnd.onepagertamx
application/vnd.onepagertat,vnd.onepagertat
application/vnd.onepagertatp,vnd.onepagertatp
application/vnd.onepagertatx,vnd.onepagertatx
application/vnd.openblox.game-binary,vnd.openblox.game-binary
application/vnd.openblox.game+xml,vnd.openblox.game+xml
application/vnd.openeye.oeb,vnd.openeye.oeb
application/vnd.openstreetmap.data+xml,vnd.openstreetmap.data+xml
application/vnd.openxmlformats-officedocument.custom-properties+xml,vnd.openxmlformats-officedocument.custom-properties+xml
application/vnd.openxmlformats-officedocument.customXmlProperties+xml,vnd.openxmlformats-officedocument.customXmlProperties+xml
application/vnd.openxmlformats-officedocument.drawing+xml,vnd.openxmlformats-officedocument.drawing+xml
